Unit Name,Tenant Name,Lease Start,Lease End,Previous Lease Start,Previous Lease End,Previous Rent,Rent,Percent Difference,Dollar Difference,Status,Term,Tenant Transfer,Term_Days,Is_Month_To_Month,Last,First,Middle
1806,"Sanchez, Kyle U.",2020-06-01,2021-05-26,2020-05-31,2021-05-26,1500.0,0.0,-100.0,-1500.0,Renewed,11 mo 26 day,Yes,356.0,False,Sanchez,Kyle,U
2401,"Williams, Daniel V.",2020-06-27,2021-06-26,2019-06-17,2020-06-26,1385.0,1395.0,0.72,10.0,Renewed,12 month,No,360.0,False,Williams,Daniel,V
1706,"Kelly, Rachel W.",2020-07-27,2021-07-26,2018-08-01,2020-07-26,2120.0,2130.0,0.47,10.0,Renewed,12 month,No,360.0,False,Kelly,Rachel,W
1801,"Scott, Nicole Y.",2020-07-27,2021-07-26,,,,1360.0,,,Did Not Renew,12 month,No,360.0,False,Scott,Nicole,Y
1901,"Martinez, Brian A.",2020-07-27,2021-07-26,,,,1290.0,,,Did Not Renew,12 month,No,360.0,False,Martinez,Brian,A
2101,"Morris, Judith B.",2020-07-27,2021-07-26,2019-08-01,2020-07-26,1345.0,1350.0,0.37,5.0,Renewed,12 month,No,360.0,False,Morris,Judith,B
2506,"Peterson, Ronald C.",2020-07-27,2021-07-26,2019-08-01,2020-07-26,2145.0,2150.0,0.23,5.0,Renewed,12 month,No,360.0,False,Peterson,Ronald,C
2405,"Miller, Pamela D.",2020-08-01,2021-07-31,2019-08-23,2020-07-31,1745.0,1745.0,0.0,0.0,Renewed,12 month,No,360.0,False,Miller,Pamela,D
1605,"Ward, Douglas E.",2020-08-03,2021-08-26,2020-08-03,2021-07-26,1630.0,0.0,-100.0,-1630.0,Renewed,12 mo 24 day,Yes,384.0,False,Ward,Douglas,E
1703,"Harris, Melissa F.",2020-08-03,2026-08-26,2020-08-03,2021-07-26,0.0,2200.0,,2200.0,Renewed,72 mo 24 day,Yes,2184.0,False,Harris,Melissa,F
1402,"Morgan, Joseph G.",2020-08-27,2021-08-26,2019-08-16,2020-08-26,1775.0,1800.0,1.41,25.0,Renewed,12 month,No,360.0,False,Morgan,Joseph,G
1406,"Mitchell, Kevin H.",2020-08-27,2021-08-26,2019-08-27,2020-08-26,2295.0,2300.0,0.22,5.0,Renewed,12 month,No,360.0,False,Mitchell,Kevin,H
1804,"Ramos, Mark J.",2020-08-27,2021-08-26,2019-08-09,2020-08-26,1745.0,1750.0,0.29,5.0,Renewed,12 month,No,360.0,False,Ramos,Mark,J
2405,"Smith, Matthew K.",2020-09-03,2022-05-05,2020-01-10,2021-12-26,0.0,1765.0,,1765.0,Renewed,20 mo 3 day,Yes,603.0,False,Smith,Matthew,K
1807,"Taylor, Steven L.",2020-10-01,,2020-10-01,2021-04-26,0.0,0.0,,0.0,Renewed,Month To Month,Yes,,True,Taylor,Steven,L
1902,"Stewart, Jacob M.",2020-10-01,2021-10-10,2019-11-01,2020-10-26,0.0,1455.0,,1455.0,Renewed,12 mo 10 day,Yes,370.0,False,Stewart,Jacob,M
2106,"Rogers, Aaron N.",2020-10-26,2023-10-26,2020-10-26,2021-10-26,0.0,0.0,,0.0,Renewed,36 mo 1 day,Yes,1081.0,False,Rogers,Aaron,N
1404,"Wilson, Donna P.",2020-10-27,2022-10-26,2017-11-15,2020-10-26,0.0,2275.35,,2275.35,Renewed,24 month,No,720.0,False,Wilson,Donna,P
2501,"Wright, Tyler N.",2020-11-27,2021-05-26,2020-04-27,2020-11-26,1445.0,1450.0,0.35,5.0,Renewed,6 month,No,180.0,False,Wright,Tyler,N
2104,"Gomez, Lisa Q.",2020-12-27,2021-12-26,2019-12-27,2020-12-26,1790.0,1795.0,0.28,5.0,Renewed,12 month,No,360.0,False,Gomez,Lisa,Q
2207,"Salinas Cortes, Katherine R.",2020-12-27,2021-12-26,2019-10-03,2020-12-26,1205.0,1300.0,7.88,95.0,Renewed,12 month,No,360.0,False,Salinas Cortes,Katherine,R
2406,"Cook, Elizabeth S.",2020-12-27,2021-12-26,,,,2120.0,,,Did Not Renew,12 month,No,360.0,False,Cook,Elizabeth,S
1403,"Hughes, Emily F.",2021-01-27,2022-01-26,2020-03-16,2021-01-26,2220.0,2235.0,0.68,15.0,Renewed,12 month,No,360.0,False,Hughes,Emily,F
1504,"Gray, Emma T.",2021-01-27,2022-01-26,,,,1810.0,,,Did Not Renew,12 month,No,360.0,False,Gray,Emma,T
2402,"Rodriguez, Nancy U.",2021-01-27,2022-01-26,,,,1475.0,,,Did Not Renew,12 month,No,360.0,False,Rodriguez,Nancy,U
1706,"Brooks, George V.",2021-02-01,2021-07-26,2020-08-01,2021-07-26,1880.0,0.0,-100.0,-1880.0,Renewed,5 mo 26 day,Yes,176.0,False,Brooks,George,V
1707,"Reed, Maria A.",2021-02-01,2022-01-26,2021-02-01,2022-01-26,1995.0,0.0,-100.0,-1995.0,Renewed,11 mo 26 day,Yes,356.0,False,Reed,Maria,A
2303,"Young, James W.",2021-02-27,2022-02-26,,,,1850.0,,,Did Not Renew,12 month,No,360.0,False,Young,James,W
1405,"Howard, Betty Y.",2021-03-27,2022-03-26,2020-04-01,2021-03-26,2170.0,2175.0,0.23,5.0,Renewed,12 month,No,360.0,False,Howard,Betty,Y
1505,"Ortiz, Jack A.",2021-03-27,2022-03-26,2020-04-01,2021-03-26,1670.0,1670.0,0.0,0.0,Renewed,12 month,No,360.0,False,Ortiz,Jack,A
1601,"Hall, Nathan B.",2021-03-27,2022-03-26,,,,1295.0,,,Did Not Renew,12 month,No,360.0,False,Hall,Nathan,B
2105,"Cruz, Christopher C.",2021-03-27,2022-03-26,2020-03-07,2021-03-26,1650.0,1700.0,3.03,50.0,Renewed,12 month,No,360.0,False,Cruz,Christopher,C
2504,"Cooper, Jason D.",2021-03-27,2022-03-26,,,,1770.0,,,Did Not Renew,12 month,No,360.0,False,Cooper,Jason,D
1604,"White, Deborah E.",2021-04-27,2022-04-26,,,,1600.0,,,Did Not Renew,12 month,No,360.0,False,White,Deborah,E
1906,"Adams, Joshua F.",2021-04-27,2022-04-26,2020-05-01,2021-04-26,1870.0,1895.0,1.34,25.0,Renewed,12 month,No,360.0,False,Adams,Joshua,F
2005,"Johnson, Timothy G.",2021-04-27,2022-04-26,,,,1695.0,,,Did Not Renew,12 month,No,360.0,False,Johnson,Timothy,G
2103,"Carter, Frank H.",2021-04-27,2022-04-26,2020-05-01,2021-04-26,1820.0,1845.0,1.37,25.0,Renewed,12 month,No,360.0,False,Carter,Frank,H
2306,"Green, Amanda M.",2021-04-27,2022-04-26,2020-04-27,2021-04-26,1925.0,1950.0,1.3,25.0,Renewed,12 month,No,360.0,False,Green,Amanda,M
2505,"Collins, Gregory J.",2021-04-27,2022-04-26,2020-04-09,2021-04-26,1700.0,1800.0,5.88,100.0,Renewed,12 month,No,360.0,False,Collins,Gregory,J
2006,"Thompson, Benjamin K.",2021-05-01,2024-02-26,2021-05-01,2022-04-26,1950.0,0.0,-100.0,-1950.0,Renewed,33 mo 26 day,Yes,1016.0,False,Thompson,Benjamin,K
1705,"Richardson, Donald L.",2021-05-27,2022-05-26,2020-06-27,2021-05-26,1630.0,1650.0,1.23,20.0,Renewed,12 month,No,360.0,False,Richardson,Donald,L
1903,"Roberts, Sandra Q.",2021-05-27,2022-05-26,2020-05-27,2021-05-26,2005.0,2010.0,0.25,5.0,Renewed,12 month,No,360.0,False,Roberts,Sandra,Q
2002,"Walker, Cynthia M.",2021-05-27,2022-05-26,2020-06-01,2021-05-26,1500.0,1505.0,0.33,5.0,Renewed,12 month,No,360.0,False,Walker,Cynthia,M
2301,"Turner, Richard N.",2021-05-27,2022-05-26,,,,1315.0,,,Did Not Renew,12 month,No,360.0,False,Turner,Richard,N
2404,"Diaz, Michael P.",2021-05-27,2022-05-26,2020-05-15,2021-05-26,1670.0,1680.0,0.6,10.0,Renewed,12 month,No,360.0,False,Diaz,Michael,P
2501,"Wright, Tyler N.",2021-05-27,2022-05-26,2020-11-27,2021-05-26,0.0,1455.0,,1455.0,Renewed,12 month,No,360.0,False,Wright,Tyler,N
1502,"Jackson, Jessica Q.",2021-06-27,2022-07-26,2020-06-27,2021-06-26,1400.0,1405.0,0.36,5.0,Renewed,13 month,No,390.0,False,Jackson,Jessica,Q
2001,"Gonzalez, Amy R.",2021-06-27,2022-06-26,2020-06-20,2021-06-26,1280.0,1290.0,0.78,10.0,Renewed,12 month,No,360.0,False,Gonzalez,Amy,R
2304,"Edwards, Heather S.",2021-06-27,2022-06-26,2021-01-12,2021-06-26,1660.0,1675.0,0.9,15.0,Renewed,12 month,No,360.0,False,Edwards,Heather,S
2507,"Mendoza, Margaret T.",2021-06-27,2022-06-26,,,,1480.0,,,Did Not Renew,12 month,No,360.0,False,Mendoza,Margaret,T
1701,"Cox, Larry U.",2021-07-01,2022-06-26,2020-06-20,2021-06-26,1260.0,1270.0,0.79,10.0,Renewed,11 mo 26 day,No,356.0,False,Cox,Larry,U
2307,"Jones, Justin V.",2021-07-01,2022-06-30,2021-01-01,2021-06-26,1450.0,1455.0,0.34,5.0,Renewed,12 month,No,360.0,False,Jones,Justin,V
1803,"Morris, Judith B.",2021-07-01,2023-03-31,2021-07-01,2022-08-26,1830.0,0.0,-100.0,-1830.0,Renewed,21 month,Yes,630.0,False,Morris,Judith,B
2201,"Robinson, Brenda W.",2021-07-13,2022-04-26,2021-08-01,2022-04-26,1330.0,0.0,-100.0,-1330.0,Renewed,9 mo 14 day,Yes,284.0,False,Robinson,Brenda,W
1501,"Martin, Megan Y.",2021-07-27,2022-07-26,2020-07-06,2021-07-26,1250.0,1275.0,2.0,25.0,Renewed,12 month,No,360.0,False,Martin,Megan,Y
1607,"Parker, Joyce A.",2021-07-27,2022-07-26,2020-07-19,2021-07-26,1480.0,1485.0,0.34,5.0,Renewed,12 month,No,360.0,False,Parker,Joyce,A
2506,"Peterson, Ronald C.",2021-07-27,2022-07-26,2020-07-27,2021-07-26,2150.0,2155.0,0.23,5.0,Renewed,12 month,No,360.0,False,Peterson,Ronald,C
2204,"Allen, Joan B.",2021-08-01,2022-01-26,2020-08-01,2021-07-26,1660.0,1695.0,2.11,35.0,Renewed,5 mo 26 day,No,176.0,False,Allen,Joan,B
1406,"Mitchell, Kevin H.",2021-08-27,2022-08-26,2020-08-27,2021-08-26,0.0,2305.0,,2305.0,Renewed,12 month,No,360.0,False,Mitchell,Kevin,H
1605,"Ward, Douglas E.",2021-08-27,2022-08-26,,,,1675.0,,,Did Not Renew,12 month,No,360.0,False,Ward,Douglas,E
1703,"Harris, Melissa F.",2021-08-27,2023-08-26,2020-08-03,2021-08-26,1825.0,1830.0,0.27,5.0,Renewed,24 month,No,720.0,False,Harris,Melissa,F
1801,"Thomas, Nicholas C.",2021-08-27,2022-08-26,2020-08-03,2021-08-26,1270.0,1300.0,2.36,30.0,Renewed,12 month,No,360.0,False,Thomas,Nicholas,C
1804,"Ramos, Mark J.",2021-08-27,2022-08-26,2020-08-27,2021-08-26,0.0,1775.0,,1775.0,Renewed,12 month,No,360.0,False,Ramos,Mark,J
2206,"Torres, Laura D.",2021-08-27,2022-08-26,2020-08-15,2021-08-26,1915.0,1925.0,0.52,10.0,Renewed,12 month,No,360.0,False,Torres,Laura,D
2202,"Kim, Robert E.",2021-09-01,2022-01-26,2021-06-01,2021-08-26,1470.0,1470.0,0.0,0.0,Renewed,4 mo 26 day,No,146.0,False,Kim,Robert,E
1402,"Smith, Matthew K.",2021-09-01,2023-08-31,2021-02-01,2022-03-26,0.0,0.0,,0.0,Renewed,24 month,Yes,720.0,False,Smith,Matthew,K
1807,"Ruiz, Kathleen F.",2021-09-07,2022-12-26,2021-09-01,2022-06-30,1267.0,1270.0,0.24,3.0,Renewed,15 mo 20 day,Yes,470.0,False,Ruiz,Kathleen,F
1407,"Salinas Cortes, Katherine R.",2021-09-15,2026-09-30,2020-12-27,2021-12-26,1300.0,2250.0,73.08,950.0,Renewed,60 mo 16 day,Yes,1816.0,False,Salinas Cortes,Katherine,R
1114,"Bennett, Michelle G.",2021-09-24,2022-07-31,2021-08-15,2022-08-26,1267.0,1267.0,0.0,0.0,Renewed,10 mo 8 day,Yes,308.0,False,Bennett,Michelle,G
1504,"King, Ryan H.",2021-09-27,2022-03-26,2021-03-19,2021-09-26,1815.0,1820.0,0.28,5.0,Renewed,6 month,No,180.0,False,King,Ryan,H
2405,"Smith, Matthew K.",2021-10-01,2022-09-30,2020-09-03,2021-09-26,1745.0,1765.0,1.15,20.0,Renewed,12 month,No,360.0,False,Smith,Matthew,K
1902,"Stewart, Jacob M.",2021-10-27,2022-10-26,2020-10-01,2021-10-26,1450.0,1455.0,0.34,5.0,Renewed,12 month,No,360.0,False,Stewart,Jacob,M
2106,"Rogers, Aaron N.",2021-10-27,2022-10-26,2020-10-26,2021-10-26,2000.0,2010.0,0.5,10.0,Renewed,12 month,No,360.0,False,Rogers,Aaron,N
2503,"Watson, Edward J.",2021-10-27,2022-10-26,,,,1925.0,,,Did Not Renew,12 month,No,360.0,False,Watson,Edward,J
2203,"Hernandez, Victoria J.",2021-11-01,2025-10-26,2021-03-27,2022-03-26,0.0,0.0,,0.0,Renewed,47 mo 26 day,Yes,1436.0,False,Hernandez,Victoria,J
2504,"Rivera, John K.",2021-11-01,2022-09-30,2021-10-01,2022-09-30,0.0,1915.0,,1915.0,Renewed,11 month,Yes,330.0,False,Rivera,John,K
2503,"Chavez, Dorothy L.",2021-11-03,2022-10-31,2021-11-27,2022-11-26,1455.0,0.0,-100.0,-1455.0,Renewed,11 mo 29 day,Yes,359.0,False,Chavez,Dorothy,L
2302,"Chavez, Dorothy L.",2021-11-27,2022-11-26,2020-11-08,2021-11-26,1450.0,1455.0,0.34,5.0,Renewed,12 month,No,360.0,False,Chavez,Dorothy,L
1905,"Hill, Anthony M.",2022-01-01,2022-12-26,,,,1845.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Hill,Anthony,M
2104,"Gomez, Lisa Q.",2022-01-01,2022-12-31,2020-12-27,2021-12-26,0.0,1825.0,,1825.0,Renewed,12 month,No,360.0,False,Gomez,Lisa,Q
1403,"Hughes, Emily F.",2022-01-27,2023-01-26,2021-01-27,2022-01-26,0.0,2245.0,,2245.0,Renewed,12 month,No,360.0,False,Hughes,Emily,F
1403,"Hughes, Emily F.",2022-01-27,,2021-01-27,2022-01-26,0.0,2245.0,,2245.0,Did Not Renew,Month To Month,No,,True,Hughes,Emily,F
2406,"Bailey, Mary N.",2022-03-01,2022-08-26,2022-01-27,2022-02-26,2050.0,2060.0,0.49,10.0,Renewed,5 mo 26 day,No,176.0,False,Bailey,Mary,N
1208,"Richardson, Donald L.",2022-03-10,2022-05-07,2022-02-01,2022-05-07,0.0,1650.0,,1650.0,Renewed,1 mo 28 day,Yes,58.0,False,Richardson,Donald,L
1504,"King, Ryan H.",2022-03-27,2022-09-26,2021-09-27,2022-03-26,0.0,1830.0,,1830.0,Renewed,6 month,No,180.0,False,King,Ryan,H
1405,"Howard, Betty Y.",2022-04-01,2023-03-26,2021-03-27,2022-03-26,0.0,2195.0,,2195.0,Renewed,11 mo 26 day,No,356.0,False,Howard,Betty,Y
1505,"Ortiz, Jack A.",2022-04-01,2023-03-26,2021-03-27,2022-03-26,1670.0,1690.0,1.2,20.0,Renewed,11 mo 26 day,No,356.0,False,Ortiz,Jack,A
2105,"Cruz, Christopher C.",2022-04-01,2023-03-26,2021-03-27,2022-03-26,0.0,1750.0,,1750.0,Renewed,11 mo 26 day,No,356.0,False,Cruz,Christopher,C
1606,"Davis, Scott P.",2022-05-01,2022-05-26,2020-05-18,2022-04-26,1800.0,2000.0,11.11,200.0,Renewed,26 day,No,26.0,False,Davis,Scott,P
1704,"James, Brandon Q.",2022-05-01,2023-04-26,2021-05-08,2022-04-26,1830.0,1850.0,1.09,20.0,Renewed,11 mo 26 day,No,356.0,False,James,Brandon,Q
1906,"Adams, Joshua F.",2022-05-01,2022-10-26,2021-04-27,2022-04-26,0.0,1930.0,,1930.0,Renewed,5 mo 26 day,No,176.0,False,Adams,Joshua,F
1907,"Flores, Kenneth L.",2022-05-01,2023-04-26,2021-04-27,2022-04-26,0.0,1355.0,,1355.0,Renewed,11 mo 26 day,No,356.0,False,Flores,Kenneth,L
2007,"Johnson, Timothy G.",2022-05-01,2023-04-26,2021-05-01,2022-04-26,1260.0,1265.0,0.4,5.0,Renewed,11 mo 26 day,No,356.0,False,Johnson,Timothy,G
2107,"Phillips, Andrew R.",2022-05-01,2023-04-26,2021-03-26,2022-04-26,1280.0,1285.0,0.39,5.0,Renewed,11 mo 26 day,No,356.0,False,Phillips,Andrew,R
2402,"Lee, Zachary S.",2022-05-01,2023-04-26,2021-04-01,2022-04-26,1300.0,1305.0,0.38,5.0,Renewed,11 mo 26 day,No,356.0,False,Lee,Zachary,S
2505,"Collins, Gregory J.",2022-05-01,2023-04-26,2021-04-27,2022-04-26,0.0,1835.0,,1835.0,Renewed,11 mo 26 day,No,356.0,False,Collins,Gregory,J
1507,"Perez, Adam T.",2022-06-01,2023-05-26,2021-04-13,2022-05-26,1495.0,1500.0,0.33,5.0,Renewed,11 mo 26 day,No,356.0,False,Perez,Adam,T
1603,"Garcia, Julie U.",2022-06-01,2023-05-26,,,,1910.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Garcia,Julie,U
1604,"Baker, Carol V.",2022-06-01,2023-05-26,2021-05-15,2022-05-26,1830.0,1840.0,0.55,10.0,Renewed,11 mo 26 day,No,356.0,False,Baker,Carol,V
1702,"Morales, Kelly W.",2022-06-01,2023-05-26,2021-05-22,2022-05-26,1260.0,1270.0,0.79,10.0,Renewed,11 mo 26 day,No,356.0,False,Morales,Kelly,W
1903,"Roberts, Sandra Q.",2022-06-01,2023-05-26,2021-05-27,2022-05-26,0.0,2060.0,,2060.0,Renewed,11 mo 26 day,No,356.0,False,Roberts,Sandra,Q
1904,"Murphy, Walter Y.",2022-06-01,2023-05-26,2021-11-22,2022-05-26,1860.0,1865.0,0.27,5.0,Renewed,11 mo 26 day,No,356.0,False,Murphy,Walter,Y
2002,"Walker, Cynthia M.",2022-06-01,2023-05-26,2021-05-27,2022-05-26,0.0,1510.0,,1510.0,Renewed,11 mo 26 day,No,356.0,False,Walker,Cynthia,M
2404,"Diaz, Michael P.",2022-06-01,2023-05-26,2021-05-27,2022-05-26,0.0,1750.0,,1750.0,Renewed,11 mo 26 day,No,356.0,False,Diaz,Michael,P
1701,"Cox, Larry U.",2022-07-01,2023-07-26,2021-07-01,2022-06-26,1270.0,1285.0,1.18,15.0,Renewed,12 mo 26 day,No,386.0,False,Cox,Larry,U
1805,"Nguyen, Sharon A.",2022-07-01,2023-06-26,2021-07-09,2022-06-26,1830.0,1860.0,1.64,30.0,Renewed,11 mo 26 day,No,356.0,False,Nguyen,Sharon,A
1807,"Ruiz, Kathleen F.",2022-07-01,2022-12-26,2021-09-07,2022-06-30,1260.0,1270.0,0.79,10.0,Renewed,5 mo 26 day,No,176.0,False,Ruiz,Kathleen,F
1901,"Reyes, Sarah B.",2022-07-01,2023-06-26,,,,1330.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Reyes,Sarah,B
2001,"Gonzalez, Amy R.",2022-07-01,2023-06-26,,,,1320.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Gonzalez,Amy,R
2006,"Thompson, Benjamin K.",2022-07-01,2023-06-26,2021-05-01,2022-06-26,1950.0,1975.0,1.28,25.0,Renewed,11 mo 26 day,No,356.0,False,Thompson,Benjamin,K
2102,"Reed, Samuel C.",2022-07-01,2023-06-26,2021-06-28,2022-06-26,1280.0,1300.0,1.56,20.0,Renewed,11 mo 26 day,No,356.0,False,Reed,Samuel,C
2304,"Edwards, Heather S.",2022-07-01,2023-06-26,,,,1735.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Edwards,Heather,S
2401,"Williams, Daniel V.",2022-07-01,2023-06-26,2021-04-09,2022-06-26,1395.0,1400.0,0.36,5.0,Renewed,11 mo 26 day,No,356.0,False,Williams,Daniel,V
2507,"Anderson, Stephanie D.",2022-07-01,2023-06-26,,,,1350.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Anderson,Stephanie,D
1122,"Campbell, Susan E.",2022-07-01,2023-06-26,2021-11-05,2022-06-30,0.0,1310.0,,1310.0,Renewed,11 mo 26 day,No,356.0,False,Campbell,Susan,E
2205,"Evans, Jonathan F.",2022-07-27,2023-07-31,2021-08-01,2022-07-26,1850.0,1850.0,0.0,0.0,Renewed,12 mo 5 day,No,365.0,False,Evans,Jonathan,F
1506,"Clark, Angela G.",2022-08-01,2022-10-31,2021-07-03,2022-07-26,1950.0,2100.0,7.69,150.0,Renewed,3 month,No,90.0,False,Clark,Angela,G
1601,"Hughes, Karen H.",2022-08-01,2023-07-26,2021-07-19,2022-07-26,1310.0,1338.0,2.14,28.0,Renewed,11 mo 26 day,No,356.0,False,Hughes,Karen,H
2004,"Brown, Linda J.",2022-08-01,2023-07-26,2021-08-13,2022-07-29,0.0,1845.0,,1845.0,Renewed,11 mo 26 day,No,356.0,False,Brown,Linda,J
2301,"Ramirez, Rebecca K.",2022-08-01,2023-07-26,,,,1380.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Ramirez,Rebecca,K
2306,"Green, Amanda M.",2022-08-01,2022-08-26,2022-05-01,2022-07-26,1950.0,2100.0,7.69,150.0,Renewed,26 day,No,26.0,False,Green,Amanda,M
2506,"Peterson, Ronald C.",2022-08-01,2023-07-26,,,,2165.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Peterson,Ronald,C
2506,"Hernandez, William L.",2022-08-19,2026-08-26,2021-08-12,2022-08-26,1870.0,2445.0,30.75,575.0,Renewed,48 mo 8 day,Yes,1448.0,False,Hernandez,William,L
2306,"Green, Amanda M.",2022-08-27,2022-09-26,2022-08-01,2022-08-26,2100.0,2100.0,0.0,0.0,Renewed,1 month,No,30.0,False,Green,Amanda,M
1402,"Smith, Matthew K.",2022-09-01,2023-08-31,2021-09-01,2022-08-31,1875.0,1880.0,0.27,5.0,Renewed,12 month,No,360.0,False,Smith,Matthew,K
1406,"Mitchell, Kevin H.",2022-09-01,2023-08-26,2021-08-27,2022-08-26,0.0,2305.0,,2305.0,Renewed,11 mo 26 day,No,356.0,False,Mitchell,Kevin,H
1706,"Gutierrez, Anna M.",2022-09-01,2023-08-26,2021-09-01,2022-08-31,1950.0,2000.0,2.56,50.0,Renewed,11 mo 26 day,No,356.0,False,Gutierrez,Anna,M
1801,"Thomas, Nicholas C.",2022-09-01,2023-08-26,,,,1350.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Thomas,Nicholas,C
1804,"Ramos, Mark J.",2022-09-01,2023-08-26,2021-08-27,2022-08-26,0.0,1850.0,,1850.0,Renewed,11 mo 26 day,No,356.0,False,Ramos,Mark,J
2005,"Flores, Christine N.",2022-09-01,2022-12-31,2021-06-14,,1900.0,1900.0,0.0,0.0,Renewed,4 month,No,120.0,False,Flores,Christine,N
2206,"Torres, Laura D.",2022-09-01,2023-08-26,2021-08-27,2022-08-26,0.0,2000.0,,2000.0,Renewed,11 mo 26 day,No,356.0,False,Torres,Laura,D
2407,"Green, Janet P.",2022-09-01,2023-08-26,,,,1350.0,,,Did Not Renew,11 mo 26 day,No,356.0,False,Green,Janet,P
