Applicant Name,Calculated Assessment,Overridden At
Heather  C. Edwards  (Co-signer for Megan Wilson),Criteria Met,
Margaret  D. Mendoza  (Co-signer for Justin Stewart),Criteria Met,
Justin  T. Stewart,Conditions Apply,2026-01-21 12:44:03
Megan  V. Wilson,Conditions Apply,2026-01-21 12:24:03
Larry  E. Cox,Criteria Met,
Evelyn  C. Robinson,Conditions Apply,2026-01-16 14:05:02
Justin  F. Jones,Criteria Met,
Brenda  G. Robinson,Criteria Not Met,
Megan  H. Martin,Criteria Not Met,
Joyce  J. Parker  (Co-signer for Donna Hughes),Criteria Met,2025-12-10 12:55:11
Samuel  A. Edwards,Criteria Met,
Donna  M. Hughes,Conditions Apply,2025-12-10 12:54:48
Joan  K. Allen,Criteria Met,
Brandon  N. Johnson,Criteria Met,
Nicholas  L. Thomas,Criteria Not Met,2025-12-04 11:13:38
Joan  Y. Lopez,Criteria Not Met,2025-12-04 11:12:04
Laura  M. Torres,Conditions Apply,2025-12-02 16:09:08
Stephanie  B. Mendoza,Conditions Apply,2025-12-02 16:08:51
Robert  N. Kim,Conditions Apply,2025-11-25 14:52:22
Kathleen  P. Ruiz,Conditions Apply,2025-11-24 15:54:35
Elizabeth  Q. Hernandez,Criteria Not Met,2025-11-17 15:46:20
Nancy  S. Flores,Criteria Met,
Michelle  Q. Bennett,Criteria Met,
Elizabeth  Q. Hernandez,Conditions Apply,
Ryan  R. King,Conditions Apply,2025-11-04 10:41:53
Douglas  C. Morales,Conditions Apply,2025-10-29 14:04:27
Edward  S. Watson,Criteria Not Met,
Robert  C. Rodriguez,Criteria Met,
Kelly  U. Turner,Conditions Apply,2025-10-20 15:35:24
Heather  Q. Ramos,Conditions Apply,2025-10-17 08:24:54
Christopher  A. Moore,Criteria Met,
John  T. Rivera,Conditions Apply,2025-10-10 14:28:07
Dorothy  U. Chavez,Criteria Not Met,
Anthony  V. Hill,Conditions Apply,2025-10-14 14:25:37
Walter  V. Diaz,Conditions Apply,2025-10-03 08:16:34
Mary  W. Bailey,Conditions Apply,2025-10-08 16:01:31
Scott  Y. Davis,Criteria Not Met,
Brandon  A. James,Conditions Apply,
Timothy  E. Kelly,Conditions Apply,2025-09-30 11:33:38
Mary  L. White,Conditions Apply,2025-09-23 17:08:16
Andrew  B. Phillips,Conditions Apply,2025-09-10 12:16:46
Zachary  C. Lee,Criteria Met,
Sandra  N. Watson,Conditions Apply,2025-09-05 15:09:14
Julie  S. Salcedo Marin,Conditions Apply,2025-09-04 15:51:14
Adam  D. Perez,Criteria Not Met,
Jessica  N. Morgan,Criteria Met,
Julie  E. Garcia  (Co-signer for Carol Baker),Criteria Met,
Carol  F. Baker,Criteria Met,
Kelly  G. Morales,Conditions Apply,
Walter  H. Murphy,Criteria Met,
Sharon  J. Nguyen  (Co-signer for Sarah Reyes),Criteria Met,
Samuel  L. Reed,Conditions Apply,
Ryan  F. Howard,Criteria Not Met,
Stephanie  M. Anderson,Criteria Not Met,2025-08-11 16:15:48
Larry  S. Taylor,Criteria Not Met,2025-08-11 16:15:27
Susan  N. Campbell,Criteria Met,
Jonathan  P. Evans,Conditions Apply,
Angela  Q. Clark,Conditions Apply,
Karen  R. Hughes,Conditions Apply,
Kathleen  D. Brooks,Criteria Met,
Linda  S. Brown,Conditions Apply,2025-08-01 16:21:47
Kevin  F. Reyes,Conditions Apply,2025-08-01 16:22:34
Linda  S. Brown,Criteria Not Met,
Margaret  R. Smith,Criteria Met,
Rebecca  T. Ramirez,Criteria Met,
William  U. Hernandez,Conditions Apply,
Anna  V. Gutierrez,Conditions Apply,
Brenda  U. Rogers,Conditions Apply,2025-07-09 11:08:34
Christine  W. Flores,Conditions Apply,2025-07-09 11:10:28
Janet  Y. Green  (Co-signer for Janet Green),Conditions Apply,2025-07-09 11:09:23
Jennifer  A. Wright,Criteria Met,
Alexander  B. Wood  (Co-signer for Alexander Wood),Conditions Apply,
Joshua  D. Williams,Conditions Apply,2025-07-03 14:29:26
Andrew  P. Bravo Serrano,Conditions Apply,2025-07-02 10:48:45
Peter  C. Roberts,Conditions Apply,2025-07-02 08:59:55
Kimberly  D. Lewis,Conditions Apply,2025-07-02 08:06:40
Samantha  E. Moore  (Co-signer for Jose Nelson),Criteria Met,
Dennis  G. Sanchez,Criteria Met,
Debra  H. Williams,Criteria Met,
Edward  G. Ortiz,Criteria Met,
Gary  J. Kelly  (Co-signer for Gary Kelly),Criteria Met,2025-06-20 09:08:49
David  K. Scott,Conditions Apply,
Jose  F. Nelson,Conditions Apply,
Paul  L. Martinez  (Co-signer for Jeffrey Morris),Criteria Met,
Jeffrey  M. Morris,Criteria Not Met,2025-06-16 09:09:00
Mark  G. Reed,Criteria Not Met,2025-06-20 09:09:12
Stephen  N. Peterson,Criteria Met,
Jack  W. Roberts,Criteria Met,
Eric  P. Miller,Criteria Not Met,
Carolyn  Q. Ward  (Co-signer for Eric Miller),Criteria Not Met,
Pamela  B. Baker,Conditions Apply,2025-06-14 12:04:40
Emma  R. Gutierrez,Conditions Apply,2025-06-16 16:32:03
Jerry  R. Harris  (Co-signer for Michelle Young),Conditions Apply,2025-06-12 14:46:27
Michelle  E. Young,Criteria Met,
Patricia  S. Morgan  (Co-signer for Barbara Mitchell),Criteria Met,
Maria  U. Ramos,Criteria Not Met,
Ashley  V. Smith  (Co-signer for Deborah Sanchez),Criteria Met,
Raymond  W. Taylor,Criteria Met,
Christina  Y. Stewart,Conditions Apply,2025-06-06 14:19:49
Barbara  T. Mitchell,Conditions Apply,2025-06-13 08:48:38
Deborah  C. Sanchez,Criteria Not Met,2025-06-11 08:58:51
Evelyn  A. Rogers  (Co-signer for Emily Wilson),Criteria Met,
Emily  B. Wilson,Criteria Met,
Helen  C. Gomez,Criteria Met,
Dorothy  J. Cruz,Criteria Met,
Joseph  E. Nguyen,Conditions Apply,2025-05-27 12:44:03
Henry  D. Lopez,Criteria Met,
Victoria  E. Cook,Criteria Met,
Betty  V. Wood,Criteria Met,
Thomas  F. Gray  (Co-signer for Kenneth Rodriguez),Criteria Met,
Kenneth  G. Rodriguez,Criteria Met,
Amanda  H. Brooks,Criteria Met,
Laura  B. Gray,Conditions Apply,2025-05-22 15:15:04
Tyler  J. Young,Criteria Met,
Lauren  K. Howard,Conditions Apply,2025-05-13 10:30:45
Sandra  L. Ortiz,Conditions Apply,2025-05-09 09:59:46
Benjamin  H. Morris,Criteria Met,2025-05-09 09:59:12
Shirley  M. Hall,Criteria Not Met,2025-05-02 14:01:40
Charles  N. Cruz,Criteria Met,
Diane  P. Cooper,Conditions Apply,2025-05-02 12:10:11
Charles  Q. Chavez,Criteria Met,
Kyle  Q. White,Criteria Met,
Joyce  W. Gomez,Criteria Not Met,2025-04-03 09:04:18
Gregory  G. Martinez,Criteria Not Met,2025-03-24 14:22:18
Daniel  R. Adams,Conditions Apply,2025-03-24 14:22:35
Lauren  M. King,Conditions Apply,2025-03-12 14:04:55
Diane  R. Hill,Criteria Not Met,2025-03-06 15:32:51
Rachel  S. Johnson,Criteria Not Met,2025-03-05 11:13:29
Nicole  T. Carter  (Co-signer for Tyler Bennett),Criteria Met,
Tyler  L. Bennett,Criteria Not Met,2025-03-03 13:06:20
Shirley  P. Rivera,Criteria Met,
Brian  U. Collins,Conditions Apply,2025-02-25 15:04:00
Judith  V. Thompson  (Co-signer for Brian Collins),Conditions Apply,2025-02-26 16:17:52
Amanda  K. Ruiz,Criteria Met,
Ronald  W. Richardson,Criteria Met,
Pamela  Y. Walker  (Co-signer for Ronald Richardson),Criteria Met,
Douglas  A. Turner,Criteria Met,
Melissa  B. Diaz  (Co-signer for Douglas Turner),Criteria Met,
Victoria  G. Thomas,Criteria Not Met,2025-01-29 14:48:48
Joseph  C. Jackson,Criteria Not Met,
Kevin  D. Gonzalez,Criteria Met,
Mark  E. Edwards  (Co-signer for Kenneth Kim),Conditions Apply,
Kenneth  J. Kim,Conditions Apply,2025-01-16 10:04:17
Henry  F. Allen,Criteria Met,
Matthew  F. Mendoza,Criteria Met,
Steven  G. Cox,Conditions Apply,2025-01-03 15:32:06
Thomas  H. Torres,Conditions Apply,2025-01-02 16:35:04
Jacob  H. Jones,Conditions Apply,2024-12-23 13:25:03
Aaron  J. Robinson,Criteria Met,
Donna  K. Martin,Conditions Apply,2024-11-18 10:08:17
Helen  E. Parker,Criteria Not Met,2024-11-08 11:15:29
Emily  D. Delgado Pena,Conditions Apply,2024-11-04 15:00:00
Raymond  A. Cox,Conditions Apply,2024-11-06 14:37:52
Lisa  L. Parker,Conditions Apply,2024-11-02 10:47:43
Katherine  M. Allen,Conditions Apply,2024-10-24 12:25:23
Elizabeth  N. Thomas,Criteria Not Met,
Emma  P. Torres,Conditions Apply,2024-10-12 13:42:27
Judith  B. Morris,Criteria Met,
Carolyn  S. Turner,Conditions Apply,2024-10-03 15:14:21
Patricia  U. Jackson,Criteria Not Met,2024-09-18 11:02:57
Nancy  Q. Kim,Criteria Met,
George  R. Ruiz,Conditions Apply,2024-09-16 11:59:30
James  S. Bennett,Criteria Met,
Stephen  Q. Richardson,Conditions Apply,2024-09-06 14:28:01
Jerry  T. Diaz,Criteria Met,
Maria  W. Edwards,Conditions Apply,2024-09-03 16:03:43
Betty  T. King  (Co-signer for Jack Watson),Criteria Met,
Jack  U. Watson,Criteria Met,
Nathan  V. Rivera,Conditions Apply,2024-08-27 09:32:46
Christopher  W. Chavez,Conditions Apply,2024-08-27 09:31:51
Jason  Y. Hill,Criteria Met,
Ashley  Y. Mendoza,Conditions Apply,2024-08-21 13:17:14
Deborah  A. Bailey,Conditions Apply,2024-08-02 14:43:43
Richard  L. Ward,Criteria Met,
Joshua  B. Davis  (Co-signer for Barbara Gonzalez),Criteria Met,
Barbara  V. Gonzalez,Criteria Met,
Christina  B. Jones,Criteria Met,2024-07-18 11:21:20
Timothy  C. James,Conditions Apply,2024-07-16 13:57:00
Frank  D. Phillips  (Co-signer for Gregory Paredes Zamora),Criteria Met,
Gregory  E. Paredes Zamora,Criteria Met,
Benjamin  F. Perez,Conditions Apply,2024-07-09 09:33:41
Donald  G. Garcia,Conditions Apply,2024-07-01 23:06:24
Jeffrey  P. Thompson  (Co-signer for Jeffrey Thompson),Criteria Met,
Jeffrey  P. Thompson,Criteria Met,
Peter  E. Ortiz,Criteria Met,
Cynthia  H. Baker,Criteria Not Met,2024-06-25 12:00:02
Samantha  G. Ponce Duarte,Conditions Apply,2024-06-24 11:48:22
Debra  K. Adams,Criteria Met,
Richard  J. Morales,Criteria Met,
Jennifer  C. Young,Criteria Met,
Samuel  N. Ramos,Criteria Met,
Michael  K. Murphy  (Co-signer for Susan Taylor),Criteria Met,
Susan  Q. Taylor,Criteria Met,
Jessica  L. Nguyen,Criteria Met,
Christine  A. Rodriguez,Criteria Met,
Amy  M. Reyes,Criteria Met,
William  W. Cook,Criteria Met,
Heather  N. Reed,Criteria Not Met,
Margaret  P. Anderson,Conditions Apply,2024-05-31 11:58:15
Larry  Q. Campbell,Conditions Apply,2024-05-31 11:58:49
Justin  R. Evans,Criteria Met,
Anna  Y. Gray,Conditions Apply,2024-05-22 13:13:57
Brenda  S. Clark,Criteria Met,
Megan  T. Hughes,Criteria Met,
Gary  L. Johnson,Criteria Met,
Joyce  U. Brown  (Co-signer for Gary Johnson),Criteria Met,
Joan  V. Ramirez  (Co-signer for Joan Ramirez),Criteria Met,
Nicholas  W. Hernandez,Conditions Apply,2024-05-15 19:31:15
Laura  Y. Gutierrez,Criteria Met,
David  M. Carter,Criteria Met,
Robert  A. Flores,Criteria Met,
Kathleen  B. Green,Conditions Apply,2024-05-08 13:01:46
Kimberly  F. Hall,Criteria Met,
Michelle  C. Wright,Criteria Met,
Ryan  D. Wood,Criteria Met,
Dennis  J. White,Conditions Apply,2024-05-02 14:58:53
Edward  E. Roberts,Criteria Met,
Janet  B. Brooks,Criteria Met,
John  F. Lewis,Criteria Met,
Dorothy  G. Moore  (Co-signer for Karen Wilson),Criteria Met,
Anthony  H. Nelson  (Co-signer for Jose Cooper),Criteria Met,
Jose  H. Cooper,Criteria Met,
Eric  R. Walker,Criteria Met,
Rebecca  V. Lopez,Criteria Met,
Mary  J. Sanchez  (Co-signer for Larry Campbell),Criteria Met,
Larry  G. Campbell,Criteria Met,
Jonathan  R. Stewart,Criteria Met,
Scott  K. Williams,Criteria Met,
Alexander  D. Howard,Criteria Met,
Brandon  L. Kelly,Criteria Not Met,
Andrew  M. Scott,Criteria Met,
Zachary  N. Martinez,Conditions Apply,2024-04-09 12:03:39
Adam  P. Morris,Conditions Apply,2024-04-09 12:04:58
Julie  Q. Peterson,Conditions Apply,2024-04-04 08:33:50
Carol  R. Miller,Criteria Met,
Kelly  S. Ward,Criteria Met,2024-03-29 15:42:17
Linda  U. Gomez,Criteria Not Met,2024-03-29 15:51:07
Paul  N. Collins,Criteria Met,
Megan  K. Hughes,Criteria Met,
Walter  T. Harris,Conditions Apply,2024-03-27 15:31:15
Karen  T. Wilson,Conditions Apply,2024-04-30 10:14:43
Sharon  U. Morgan,Criteria Not Met,2024-03-22 09:20:35
Mary  A. Sanchez,Criteria Met,
Sarah  V. Mitchell,Criteria Met,
Samuel  W. Ramos,Criteria Met,
Angela  S. Rogers,Criteria Met,
Stephanie  Y. Smith,Criteria Not Met,
Susan  A. Taylor,Conditions Apply,
Jonathan  B. Stewart,Criteria Met,
Stephanie  P. Smith,Conditions Apply,2024-02-16 08:29:49
Angela  C. Rogers,Conditions Apply,2024-02-16 08:30:13
Susan  A. Taylor,Conditions Apply,
Stephanie  Y. Smith,Criteria Not Met,
Karen  D. Wilson,Criteria Not Met,
Karen  D. Wilson,Criteria Not Met,
Linda  E. Gomez,Criteria Met,
Rebecca  F. Lopez,Criteria Met,
William  G. Cook  (Co-signer for Anna Gray),Conditions Apply,2024-01-05 13:27:43
Anna  H. Gray,Conditions Apply,2024-01-05 13:27:06
Sarah  M. Mitchell,Criteria Met,
Christine  J. Rodriguez,Criteria Met,
Janet  K. Brooks,Conditions Apply,2023-12-19 13:50:59
Jennifer  L. Young,Criteria Not Met,
Sharon  L. Morgan,Conditions Apply,2023-12-14 12:23:10
Julie  G. Peterson,Criteria Met,
Walter  K. Harris,Criteria Met,
Carol  H. Miller,Criteria Met,
Benjamin  V. Perez,Conditions Apply,2023-10-12 08:29:50
Alexander  M. Howard  (Co-signer),Criteria Met,
Peter  N. Ortiz,Criteria Met,
Kimberly  P. Hall,Conditions Apply,2023-10-04 11:43:14
Samantha  Q. Cruz,Conditions Apply,2023-10-04 11:43:39
Scott  B. Williams,Conditions Apply,2023-10-04 10:11:50
Brandon  C. Ibarra Solis,Criteria Met,
Jose  R. Cooper,Criteria Met,
Zachary  E. Martinez,Criteria Met,
Dennis  S. White,Conditions Apply,2023-08-31 09:39:21
Andrew  D. Scott,Criteria Met,
Debra  T. Adams,Conditions Apply,
Gary  U. Johnson,Conditions Apply,2023-09-12 13:00:21
David  V. Carter,Conditions Apply,2023-08-03 12:00:03
Paul  W. Collins  (Co-signer for Jeffrey Thompson),Criteria Met,
Stephen  A. Richardson  (Co-signer for Adam Morris),Criteria Met,
Eric  B. Walker  (Co-signer for Carolyn Turner),Conditions Apply,2023-07-28 10:01:18
Adam  F. Morris,Conditions Apply,2023-07-28 10:01:44
Carolyn  C. Turner,Conditions Apply,2023-07-28 10:02:36
Jerry  D. Diaz,Conditions Apply,2023-07-27 13:49:05
Patricia  E. Jackson,Conditions Apply,2023-07-26 13:46:35
Barbara  F. Gonzalez,Criteria Met,
Jeffrey  Y. Thompson,Conditions Apply,2023-08-02 13:12:36
Maria  G. Edwards  (Co-signer for Dorothy Moore),Criteria Met,
Dorothy  W. Moore,Conditions Apply,2023-07-19 13:02:55
Anthony  Y. Nelson  (Co-signer),Criteria Met,
Anthony  Y. Nelson,Conditions Apply,2023-07-19 12:36:26
Ashley  H. Mendoza,Criteria Not Met,2023-07-17 15:18:33
Raymond  J. Cox,Criteria Not Met,2023-07-26 14:13:10
Christina  K. Jones,Criteria Met,
Evelyn  L. Robinson,Criteria Met,
Emily  M. Martin,Criteria Not Met,
Amy  D. Escobar Rios,Conditions Apply,2023-06-29 13:47:47
Helen  N. Parker,Criteria Met,
Henry  P. Allen,Criteria Met,
Victoria  Q. Thomas,Conditions Apply,2023-06-26 12:49:10
Thomas  R. Torres,Criteria Not Met,
Kenneth  S. Kim,Conditions Apply,
Amanda  T. Ruiz,Criteria Met,
Ryan  T. Wood,Criteria Met,
Tyler  U. Bennett,Criteria Met,
Lauren  V. King  (Co-signer for Lauren King),Conditions Apply,2023-06-08 15:11:22
Michelle  S. Wright,Conditions Apply,2023-06-07 13:29:14
Laura  P. Gutierrez,Criteria Met,
Edward  U. Roberts,Conditions Apply,2023-06-08 13:08:31
Sandra  W. Watson,Criteria Met,
Shirley  Y. Rivera,Conditions Apply,2023-06-05 09:34:35
Robert  Q. Flores,Conditions Apply,2023-05-30 14:58:54
Charles  A. Chavez,Conditions Apply,
Charles  A. Chavez  (Co-signer for Charles Chavez),Criteria Met,
Diane  B. Hill,Conditions Apply,2023-05-26 15:50:04
Kyle  C. Bailey,Conditions Apply,2023-06-07 11:57:17
John  V. Lewis,Conditions Apply,2023-06-07 11:58:39
Daniel  D. Davis  (Co-signer for Diane Hill),Criteria Met,
Rachel  E. James,Criteria Not Met,2023-05-22 16:52:34
Nicole  F. Phillips  (Co-signer for Rachel James),Criteria Met,
Brian  G. Lee,Criteria Not Met,
Joan  M. Ramirez,Criteria Met,
Judith  H. Perez,Criteria Not Met,
Brenda  J. Clark,Conditions Apply,2023-05-18 13:46:26
Ronald  J. Garcia,Conditions Apply,2023-05-18 13:45:33
Pamela  K. Baker  (Co-signer for Douglas Morales),Criteria Met,
Melissa  M. Murphy,Criteria Met,
Joseph  N. Nguyen,Criteria Met,
Douglas  L. Morales,Conditions Apply,2023-05-15 14:22:51
Kevin  P. Reyes  (Co-signer for Mark Reed),Criteria Met,
Mark  Q. Reed,Criteria Not Met,2023-05-10 12:17:25
Matthew  R. Anderson,Criteria Met,
Steven  S. Campbell  (Co-signer for Nicholas Hernandez),Criteria Met,
Justin  H. Evans,Criteria Met,
Deborah  Q. Bailey,Criteria Met,
Nicholas  N. Hernandez,Criteria Not Met,2023-04-28 15:40:17
Kathleen  R. Green,Criteria Met,
Jacob  T. Evans,Criteria Met,
Aaron  U. Clark,Conditions Apply,2023-04-20 10:28:46
Donna  V. Hughes,Conditions Apply,2023-04-20 10:27:54
Lisa  W. Brown,Conditions Apply,
Katherine  Y. Ramirez  (Co-signer for Joshua Davis),Criteria Met,
Elizabeth  A. Hernandez,Criteria Not Met,
Joshua  R. Davis,Conditions Apply,2023-04-19 10:54:41
Emma  B. Gutierrez,Conditions Apply,2023-04-17 19:30:33
Nancy  C. Flores,Conditions Apply,2023-04-17 13:59:53
George  D. Green,Criteria Met,
Heather  E. Reed,Criteria Met,
Kyle  S. Bailey,Conditions Apply,2023-06-23 09:51:01
James  E. Wright  (Co-signer for Betty Wood),Criteria Met,
Jack  G. Roberts,Criteria Met,
Daniel  H. Cuevas Bermudez,Conditions Apply,2023-03-20 08:35:27
Nathan  H. Lewis,Criteria Met,
Joyce  L. Brown,Criteria Met,
Christopher  J. Moore  (Co-signer for Joyce Brown),Criteria Met,
Jason  K. Nelson,Criteria Not Met,2023-03-08 12:24:51
Michael  B. Murphy,Conditions Apply,2023-02-24 18:48:57
Deborah  L. Sanchez,Conditions Apply,
Cynthia  Y. Baker,Criteria Met,
Joshua  M. Williams,Criteria Not Met,
Timothy  N. Kelly,Criteria Met,2023-02-09 14:00:05
Frank  P. Scott,Criteria Not Met,
Jessica  C. Nguyen,Criteria Met,
Gregory  Q. Martinez,Conditions Apply,2023-02-09 14:01:04
Benjamin  R. Morris,Criteria Met,
Donald  S. Peterson,Conditions Apply,2023-02-09 14:01:29
Cynthia  T. Miller,Criteria Not Met,2023-01-26 09:20:02
Margaret  F. Anderson,Conditions Apply,2023-01-26 09:21:51
Richard  U. Ward,Criteria Not Met,2023-01-13 15:49:19
Michael  V. Harris,Conditions Apply,2023-01-13 15:50:24
Jessica  W. Morgan,Criteria Met,
Richard  A. Morales,Criteria Met,
Amy  Y. Mitchell,Conditions Apply,
Heather  A. Ramos,Criteria Met,
Gregory  U. Lee,Criteria Met,
Margaret  B. Smith,Conditions Apply,2022-12-29 17:45:12
Larry  C. Taylor,Criteria Met,
Justin  D. Stewart,Conditions Apply,
Brenda  E. Rogers,Criteria Not Met,2022-12-29 17:43:31
Megan  F. Wilson,Criteria Not Met,2022-12-29 17:44:08
Joyce  G. Gomez,Criteria Met,
Joan  H. Lopez  (Co-signer for Nicholas Cook),Criteria Met,
Nicholas  J. Cook,Criteria Met,
Laura  K. Gray,Criteria Met,
Robert  L. Rodriguez,Criteria Met,
Daniel  T. Davis,Conditions Apply,2023-01-10 09:28:22
Kathleen  M. Brooks,Conditions Apply,2022-11-16 13:48:29
Nicole  V. Phillips,Conditions Apply,2023-01-10 09:37:49
Donald  W. Garcia,Conditions Apply,2022-11-11 10:29:08
Michelle  N. Young,Conditions Apply,2022-11-09 15:28:26
Timothy  S. James,Conditions Apply,2022-11-09 15:26:26
Ryan  P. Howard,Conditions Apply,
Edward  Q. Ortiz,Criteria Met,
John  R. Hall  (Co-signer for Dorothy Cruz),Conditions Apply,2022-11-01 14:30:48
