Work Order Number,Primary Resident,Created At,Amount,Resident Requested
22749-1,Business Tenant 1,2017-04-18 00:00:00,0.0,Yes
22903-1,Business Tenant 1,2017-04-24 00:00:00,0.0,Yes
23170-1,"Cox, Susan U.",2017-05-02 00:00:00,0.0,Yes
23332-1,Business Tenant 1,2017-05-08 00:00:00,0.0,Yes
23419-1,"Richardson, Julie L.",2017-05-10 00:00:00,0.0,Yes
23421-1,"Turner, Kelly N.",2017-05-10 00:00:00,0.0,Yes
23726-1,Business Tenant 1,2017-05-22 00:00:00,0.0,Yes
23848-1,"Watson, Peter J.",2017-05-24 00:00:00,0.0,Yes
23850-1,"Rivera, Kimberly K.",2017-05-24 00:00:00,0.0,Yes
24242-1,"Richardson, Julie L.",2017-06-06 00:00:00,0.0,Yes
24251-1,"Watson, Peter J.",2017-06-06 00:00:00,0.0,Yes
24252-1,"Chavez, Samantha L.",2017-06-07 00:00:00,0.0,Yes
24991-1,"Hill, Jose M.",2017-06-30 00:00:00,0.0,No
26918-1,"Bailey, Dennis N.",2017-08-28 00:00:00,0.0,Yes
27965-1,"Bailey, Dennis N.",2017-10-06 00:00:00,0.0,Yes
28596-1,"Bailey, Dennis N.",2017-11-01 00:00:00,0.0,Yes
28995-1,"Bailey, Dennis N.",2017-11-15 00:00:00,0.0,Yes
29075-1,"Rivera, Kimberly K.",2017-11-20 00:00:00,0.0,Yes
29454-1,"Davis, Debra P.",2017-12-11 00:00:00,0.0,Yes
30616-1,"Bailey, Dennis N.",2018-01-27 00:00:00,0.0,Yes
30689-1,"Ramirez, Henry H.",2018-01-30 00:00:00,0.0,No
32562-1,"James, Gary Q.",2018-04-14 00:00:00,0.0,Yes
32658-1,"Phillips, David R.",2018-04-19 00:00:00,0.0,Yes
33309-1,Business Tenant 3,2018-05-14 00:00:00,0.0,No
34117-1,"Lee, Paul S.",2018-06-10 00:00:00,0.0,Yes
34424-1,"Campbell, Raymond C.",2018-06-21 00:00:00,0.0,No
34480-1,"Perez, Jeffrey T.",2018-06-24 00:00:00,0.0,Yes
35927-1,"Cox, Susan U.",2018-07-31 00:00:00,0.0,Yes
36209-1,"Martinez, Gregory A.",2018-08-07 00:00:00,0.0,Yes
36353-1,Business Tenant 5,2018-08-10 00:00:00,0.0,Yes
40211-1,"Garcia, Stephen U.",2018-11-27 00:00:00,0.0,Yes
40297-1,"Kelly, Rachel W.",2018-11-29 00:00:00,0.0,Yes
40306-1,"Kelly, Rachel W.",2018-11-29 00:00:00,0.0,Yes
43197-1,"Hughes, Emily F.",2019-02-22 00:00:00,0.0,No
43321-1,"Anderson, Ashley B.",2019-02-26 00:00:00,0.0,No
43673-1,"Roberts, Jack Q.",2019-03-08 00:00:00,0.0,Yes
43933-1,"Hernandez, Victoria J.",2019-03-17 00:00:00,0.0,Yes
44823-1,"Martinez, Gregory A.",2019-04-12 00:00:00,0.0,Yes
45302-1,"Wilson, Donna P.",2019-04-23 00:00:00,0.0,Yes
46455-1,"Wright, Tyler N.",2019-05-18 00:00:00,0.0,Yes
46473-1,"Baker, Eric V.",2019-05-19 00:00:00,0.0,Yes
46475-1,"Wright, Tyler N.",2019-05-19 00:00:00,0.0,Yes
46482-1,Business Tenant 9,2019-05-19 00:00:00,0.0,Yes
46615-1,Business Tenant 9,2019-05-22 00:00:00,0.0,Yes
46616-1,"Hernandez, Victoria J.",2019-05-22 00:00:00,0.0,Yes
46648-1,Business Tenant 9,2019-05-22 00:00:00,0.0,Yes
46649-1,Business Tenant 9,2019-05-22 00:00:00,0.0,Yes
47029-1,"Brown, Helen G.",2019-05-29 00:00:00,0.0,Yes
47080-1,"Hernandez, Victoria J.",2019-05-30 00:00:00,0.0,Yes
47902-1,"Kelly, Rachel W.",2019-06-17 00:00:00,0.0,Yes
47922-1,"Moore, Charles S.",2019-06-18 00:00:00,0.0,Yes
48472-1,"Wright, Tyler N.",2019-06-29 00:00:00,0.0,Yes
48693-1,Business Tenant 10,2019-07-03 00:00:00,0.0,Yes
48709-1,Business Tenant 10,2019-07-03 00:00:00,0.0,Yes
49068-1,Business Tenant 11,2019-07-10 00:00:00,0.0,Yes
49536-1,"Ramos, Heather J.",2019-07-19 00:00:00,0.0,Yes
49575-1,"Clark, Evelyn E.",2019-07-20 00:00:00,0.0,Yes
50108-1,"Chavez, Charles J.",2019-07-30 00:00:00,0.0,Yes
50159-1,"Cox, Susan U.",2019-08-01 00:00:00,0.0,Yes
50299-1,Business Tenant 2,2019-08-03 00:00:00,0.0,Yes
50725-1,"Evans, Christina D.",2019-08-12 00:00:00,0.0,Yes
50832-1,"Wilson, Donna P.",2019-08-14 00:00:00,0.0,Yes
51294-1,Business Tenant 9,2019-08-22 00:00:00,0.0,Yes
51476-1,"Ruiz, Amanda D.",2019-08-26 00:00:00,0.0,No
51772-1,"Chavez, Charles J.",2019-09-02 00:00:00,0.0,Yes
51790-1,"Garcia, Ronald S.",2019-09-02 00:00:00,0.0,Yes
51953-1,"Wilson, Donna P.",2019-09-05 00:00:00,0.0,Yes
52249-1,Business Tenant 10,2019-09-11 00:00:00,0.0,Yes
52312-1,"Nelson, Diane T.",2019-09-12 00:00:00,0.0,Yes
52528-1,"Hernandez, Victoria J.",2019-09-17 00:00:00,0.0,Yes
61922-1,"Mitchell, Kevin H.",2019-09-28 00:00:00,0.0,Yes
63017-1,"James, Rachel N.",2019-10-23 00:00:00,0.0,Yes
63807-1,"Mitchell, Kevin H.",2019-11-09 00:00:00,0.0,Yes
63822-1,"Gutierrez, Thomas K.",2019-11-10 00:00:00,0.0,Yes
64094-1,"Watson, Sandra G.",2019-11-17 00:00:00,0.0,Yes
64492-1,"James, Rachel N.",2019-11-30 00:00:00,0.0,Yes
65393-1,"Kelly, Rachel W.",2019-12-26 00:00:00,0.0,Yes
66191-1,Business Tenant 12,2020-01-18 00:00:00,0.0,Yes
66472-1,"Morales, Carolyn W.",2020-01-27 00:00:00,0.0,Yes
67042-1,"Garcia, Ronald S.",2020-02-11 00:00:00,0.0,Yes
67150-1,"Morris, Judith B.",2020-02-14 00:00:00,0.0,Yes
67635-1,Business Tenant 13,2020-02-26 00:00:00,0.0,No
67793-1,"Kelly, Rachel W.",2020-03-01 00:00:00,0.0,Yes
67867-1,"Campbell, Raymond C.",2020-03-02 00:00:00,0.0,Yes
68347-1,"Gray, Emma T.",2020-03-15 00:00:00,0.0,Yes
68706-1,"Williams, Daniel V.",2020-03-26 00:00:00,0.0,Yes
68833-1,Business Tenant 14,2020-03-31 00:00:00,0.0,No
68838-1,Business Tenant 15,2020-03-31 00:00:00,0.0,No
68839-1,Business Tenant 10,2020-03-31 00:00:00,0.0,No
68840-1,Business Tenant 16,2020-03-31 00:00:00,0.0,No
68894-1,Business Tenant 12,2020-04-01 00:00:00,0.0,No
68895-1,"Chavez, Charles J.",2020-04-01 00:00:00,0.0,No
69156-1,"Lewis, Shirley R.",2020-04-10 00:00:00,0.0,Yes
69175-1,"Howard, Betty Y.",2020-04-10 00:00:00,0.0,Yes
69236-1,"Lewis, Shirley R.",2020-04-13 00:00:00,0.0,Yes
69662-1,"Ramos, Heather J.",2020-04-29 00:00:00,0.0,No
69672-1,"Morales, Carolyn W.",2020-04-29 00:00:00,0.0,Yes
69980-1,"Campbell, Raymond C.",2020-05-07 00:00:00,0.0,Yes
70277-1,"Cooper, Jason D.",2020-05-17 00:00:00,0.0,Yes
70298-1,"Cooper, Jason D.",2020-05-18 00:00:00,0.0,Yes
70359-1,"Davis, Scott P.",2020-05-18 00:00:00,0.0,Yes
70656-1,"Cooper, Jason D.",2020-05-24 00:00:00,0.0,Yes
70657-1,"Cooper, Jason D.",2020-05-24 00:00:00,0.0,Yes
70658-1,"Carter, Frank H.",2020-05-24 00:00:00,0.0,Yes
70999-1,"Mitchell, Kevin H.",2020-05-30 00:00:00,0.0,Yes
71181-1,"White, Deborah E.",2020-06-03 00:00:00,0.0,Yes
71223-1,"Thompson, Jeffrey H.",2020-06-04 00:00:00,0.0,Yes
71521-1,"Johnson, Timothy G.",2020-06-10 00:00:00,0.0,Yes
71736-1,"Young, James W.",2020-06-16 00:00:00,0.0,Yes
72003-1,"James, Rachel N.",2020-06-24 00:00:00,0.0,Yes
72122-1,"Williams, Daniel V.",2020-06-27 00:00:00,0.0,Yes
73959-1,"Richardson, Donald L.",2020-08-06 00:00:00,0.0,Yes
73984-1,"Lewis, John P.",2020-08-07 00:00:00,0.0,Yes
74390-1,"Harris, Melissa F.",2020-08-17 00:00:00,0.0,Yes
76802-1,"Cooper, Jason D.",2020-10-09 00:00:00,0.0,Yes
81849-1,"Davis, Scott P.",2021-02-22 00:00:00,0.0,Yes
83322-1,"Garcia, Julie U.",2021-04-03 00:00:00,0.0,Yes
84150-1,"Kim, Nancy A.",2021-04-27 00:00:00,0.0,Yes
84412-1,"Roberts, Sandra Q.",2021-05-03 00:00:00,0.0,Yes
86477-1,"Mitchell, Kevin H.",2021-06-25 00:00:00,0.0,Yes
86646-1,"Morris, Judith B.",2021-06-28 00:00:00,0.0,Yes
86679-1,"Torres, Laura D.",2021-06-29 00:00:00,0.0,Yes
86706-1,"Morris, Judith B.",2021-06-29 00:00:00,0.0,Yes
86839-1,"Anderson, Stephanie D.",2021-07-02 00:00:00,0.0,Yes
86886-1,"Howard, Betty Y.",2021-07-03 00:00:00,0.0,Yes
86981-1,"Morris, Judith B.",2021-07-06 00:00:00,0.0,Yes
87279-1,"Morris, Judith B.",2021-07-13 00:00:00,0.0,Yes
87290-1,"Garcia, Julie U.",2021-07-14 00:00:00,0.0,Yes
87424-1,"Hernandez, Victoria J.",2021-07-18 00:00:00,0.0,Yes
87438-1,"Thompson, Benjamin K.",2021-07-18 00:00:00,0.0,Yes
87727-1,"James, Brandon Q.",2021-07-26 00:00:00,0.0,Yes
87745-1,"Jackson, Jessica Q.",2021-07-26 00:00:00,0.0,Yes
87747-1,"Jackson, Jessica Q.",2021-07-26 00:00:00,0.0,Yes
88467-1,"Johnson, Brandon G.",2021-08-15 00:00:00,0.0,Yes
88545-1,"Stewart, Jacob M.",2021-08-17 00:00:00,0.0,Yes
88895-1,"Johnson, Brandon G.",2021-08-25 00:00:00,0.0,Yes
88918-1,"Johnson, Brandon G.",2021-08-26 00:00:00,0.0,Yes
88950-1,"Johnson, Brandon G.",2021-08-26 00:00:00,0.0,Yes
88954-1,"Wilson, Donna P.",2021-08-27 00:00:00,0.0,Yes
89015-1,"Johnson, Brandon G.",2021-08-28 00:00:00,0.0,Yes
89420-1,"Johnson, Brandon G.",2021-09-07 00:00:00,0.0,Yes
89443-1,"Hill, Jason H.",2021-09-07 00:00:00,0.0,Yes
89459-1,"Johnson, Brandon G.",2021-09-07 00:00:00,0.0,Yes
89461-1,"Johnson, Brandon G.",2021-09-07 00:00:00,0.0,Yes
89650-1,"Jackson, Jessica Q.",2021-09-13 00:00:00,0.0,Yes
89714-1,"Johnson, Brandon G.",2021-09-15 00:00:00,0.0,Yes
89897-1,"Johnson, Brandon G.",2021-09-21 00:00:00,0.0,Yes
89898-1,"Johnson, Brandon G.",2021-09-21 00:00:00,0.0,Yes
89899-1,"Johnson, Brandon G.",2021-09-21 00:00:00,0.0,Yes
90070-1,"Johnson, Brandon G.",2021-09-25 00:00:00,0.0,Yes
90311-1,"Evans, Jonathan F.",2021-10-01 00:00:00,0.0,Yes
90462-1,"Brown, Linda J.",2021-10-05 00:00:00,0.0,Yes
90860-1,"Johnson, Brandon G.",2021-10-18 00:00:00,0.0,Yes
91334-1,"Evans, Jonathan F.",2021-11-02 00:00:00,0.0,Yes
91548-1,"Ramirez, Rebecca D.",2021-11-08 00:00:00,0.0,No
91606-1,"Thomas, Nicholas C.",2021-11-10 00:00:00,0.0,Yes
91936-1,"Cabral Nunez, Stephen E.",2021-11-22 00:00:00,0.0,Yes
91937-1,"Cabral Nunez, Stephen E.",2021-11-22 00:00:00,0.0,Yes
92000-1,"Cordero Vega, William E.",2021-11-26 00:00:00,0.0,Yes
92050-1,"Ward, Kelly J.",2021-11-28 00:00:00,0.0,Yes
92213-1,"Cox, Larry U.",2021-12-04 00:00:00,0.0,Yes
92643-1,"Lewis, Kimberly M.",2021-12-27 00:00:00,0.0,Yes
92961-1,"Campbell, Susan W.",2022-01-10 00:00:00,0.0,Yes
93128-1,"Lewis, Kimberly M.",2022-01-17 00:00:00,0.0,Yes
93267-1,"Evans, Jonathan Y.",2022-01-21 00:00:00,0.0,Yes
93292-1,"Garcia, Julie U.",2022-01-22 00:00:00,0.0,Yes
93413-1,"Murphy, Jerry Y.",2022-01-26 00:00:00,0.0,Yes
93415-1,"Campbell, Susan W.",2022-01-26 00:00:00,0.0,Yes
93419-1,"Harris, Jerry H.",2022-01-27 00:00:00,0.0,Yes
93539-1,"Chavez, Dorothy L.",2022-01-30 00:00:00,0.0,Yes
93577-1,"Nguyen, Sharon A.",2022-01-31 00:00:00,0.0,Yes
93614-1,"Watson, Edward C.",2022-02-01 00:00:00,0.0,Yes
93699-1,"Richardson, Donald L.",2022-02-03 00:00:00,0.0,Yes
93873-1,"Johnson, Brandon G.",2022-02-10 00:00:00,0.0,Yes
93874-1,"Johnson, Brandon G.",2022-02-10 00:00:00,0.0,Yes
94070-1,"Nelson, Jose V.",2022-02-19 00:00:00,0.0,Yes
94073-1,"Nelson, Jose V.",2022-02-19 00:00:00,0.0,Yes
94088-1,"Moore, Samantha U.",2022-02-20 00:00:00,0.0,Yes
94297-1,"Gutierrez, Anna M.",2022-02-27 00:00:00,0.0,Yes
94355-1,"Bennett, Michelle A.",2022-03-01 00:00:00,0.0,Yes
94618-1,"Rodriguez, Kenneth W.",2022-03-11 00:00:00,0.0,No
94626-1,"Roberts, Peter S.",2022-03-12 00:00:00,0.0,Yes
94640-1,"Mitchell, Barbara K.",2022-03-12 00:00:00,0.0,Yes
94642-1,"Rogers, Evelyn Q.",2022-03-12 00:00:00,0.0,Yes
94645-1,"Stewart, Christina P.",2022-03-13 00:00:00,0.0,Yes
94833-1,"Morris, Judith B.",2022-03-21 00:00:00,0.0,Yes
94902-1,"Taylor, Raymond N.",2022-03-22 00:00:00,0.0,Yes
94990-1,"Johnson, Brandon G.",2022-03-26 00:00:00,0.0,Yes
95008-1,"Thompson, Benjamin K.",2022-03-28 00:00:00,0.0,Yes
95069-1,"Brooks, Amanda Y.",2022-03-30 00:00:00,0.0,Yes
95119-1,"Brooks, Amanda Y.",2022-04-01 00:00:00,0.0,Yes
95158-1,"Taylor, Steven E.",2022-04-04 00:00:00,0.0,Yes
95169-1,"Rogers, Evelyn Q.",2022-04-04 00:00:00,0.0,Yes
95170-1,"Young, Tyler A.",2022-04-04 00:00:00,0.0,Yes
95278-1,"Cook, Victoria U.",2022-04-08 00:00:00,0.0,Yes
95306-1,"Taylor, Steven E.",2022-04-11 00:00:00,0.0,Yes
95363-1,"Stewart, Christina P.",2022-04-13 00:00:00,0.0,Yes
95365-1,"Evans, Jonathan Y.",2022-04-13 00:00:00,0.0,Yes
95445-1,"Gray, Thomas V.",2022-04-17 00:00:00,0.0,Yes
95452-1,"Roberts, Peter S.",2022-04-17 00:00:00,0.0,Yes
95488-1,"Stewart, Christina P.",2022-04-18 00:00:00,0.0,Yes
95502-1,"Cook, Victoria U.",2022-04-19 00:00:00,0.0,Yes
95764-1,"Rogers, Evelyn Q.",2022-04-30 00:00:00,0.0,Yes
95766-1,"Allen, Joan T.",2022-04-30 00:00:00,0.0,Yes
95780-1,"Rodriguez, Kenneth W.",2022-05-01 00:00:00,0.0,Yes
95822-1,"Mitchell, Barbara K.",2022-05-02 00:00:00,0.0,Yes
95869-1,"Gonzalez, Amy K.",2022-05-04 00:00:00,0.0,Yes
95917-1,"Johnson, Timothy A.",2022-05-05 00:00:00,0.0,Yes
95943-1,"Ramos, Maria L.",2022-05-06 00:00:00,0.0,Yes
95963-1,"Nelson, Jose V.",2022-05-08 00:00:00,0.0,Yes
96029-1,"Johnson, Brandon G.",2022-05-10 00:00:00,0.0,Yes
96084-1,"Flores, Kenneth L.",2022-05-12 00:00:00,0.0,Yes
96124-1,"Allen, Joan T.",2022-05-13 00:00:00,0.0,No
96147-1,"Wood, Alexander R.",2022-05-15 00:00:00,0.0,Yes
96160-1,"Taylor, Raymond G.",2022-05-16 00:00:00,0.0,No
96323-1,"Wright, Tyler N.",2022-05-23 00:00:00,0.0,Yes
96334-1,"Evans, Jonathan F.",2022-05-23 00:00:00,0.0,Yes
96336-1,"Evans, Jonathan F.",2022-05-23 00:00:00,0.0,Yes
96337-1,"Evans, Jonathan F.",2022-05-23 00:00:00,0.0,Yes
96364-1,"Murphy, Walter Y.",2022-05-24 00:00:00,0.0,Yes
96434-1,"Taylor, Steven E.",2022-05-26 00:00:00,0.0,Yes
96441-1,"Brooks, Amanda Y.",2022-05-26 00:00:00,0.0,Yes
96503-1,"Thompson, Benjamin K.",2022-05-30 00:00:00,699.0,Yes
96520-1,"Mitchell, Kevin B.",2022-05-30 00:00:00,0.0,Yes
96545-1,"Hughes, Emily F.",2022-05-31 00:00:00,0.0,No
96687-1,"Harris, Melissa F.",2022-06-05 00:00:00,0.0,Yes
96793-1,"Bailey, Deborah Q.",2022-06-09 00:00:00,0.0,Yes
96827-1,"Cox, Larry U.",2022-06-10 00:00:00,0.0,Yes
96828-1,"Cox, Larry U.",2022-06-10 00:00:00,115.0,Yes
96867-1,"White, Kyle G.",2022-06-13 00:00:00,0.0,Yes
96921-1,Business Tenant 11,2022-06-14 00:00:00,0.0,Yes
96960-1,"Williams, Daniel V.",2022-06-15 00:00:00,0.0,Yes
96966-1,"Johnson, Brandon G.",2022-06-15 00:00:00,315.5,Yes
97021-1,"Lopez, Henry T.",2022-06-18 00:00:00,0.0,Yes
97041-1,"Stewart, Christina P.",2022-06-20 00:00:00,0.0,Yes
97102-1,"Anderson, Stephanie D.",2022-06-22 00:00:00,0.0,Yes
97125-1,"Rodriguez, Kenneth W.",2022-06-23 00:00:00,0.0,Yes
97197-1,"James, Brandon Q.",2022-06-27 00:00:00,0.0,Yes
97328-1,"Johnson, Brandon G.",2022-07-01 00:00:00,0.0,Yes
97331-1,"Johnson, Brandon G.",2022-07-01 00:00:00,0.0,Yes
97357-1,"Gonzalez, Amy K.",2022-07-02 00:00:00,0.0,Yes
97385-1,"James, Brandon Q.",2022-07-03 00:00:00,318.27,Yes
97489-1,"Martinez, Paul C.",2022-07-06 00:00:00,0.0,Yes
97518-1,"Miller, Pamela V.",2022-07-07 00:00:00,0.0,Yes
97754-1,"Lee, Zachary S.",2022-07-16 00:00:00,0.0,Yes
97836-1,"Brown, Linda J.",2022-07-19 00:00:00,0.0,Yes
97837-1,"Brown, Linda J.",2022-07-19 00:00:00,0.0,Yes
97838-1,"Brown, Linda J.",2022-07-19 00:00:00,0.0,Yes
97839-1,"Brown, Linda J.",2022-07-19 00:00:00,0.0,Yes
97840-1,"Brown, Linda J.",2022-07-19 00:00:00,0.0,Yes
97841-1,"Brown, Linda J.",2022-07-19 00:00:00,0.0,Yes
97842-1,"Brown, Linda J.",2022-07-19 00:00:00,0.0,Yes
98007-1,"Diaz, Melissa R.",2022-07-23 00:00:00,0.0,Yes
98012-1,"Cabral Nunez, Stephen E.",2022-07-23 00:00:00,0.0,Yes
98071-1,"Stewart, Jacob F.",2022-07-26 00:00:00,0.0,Yes
98088-1,"Baker, Carol V.",2022-07-26 00:00:00,0.0,Yes
98093-1,"Lee, Zachary S.",2022-07-26 00:00:00,0.0,Yes
98117-1,Business Tenant 1,2022-07-27 00:00:00,569.8,No
98177-1,"Gomez, Helen S.",2022-07-30 00:00:00,0.0,Yes
98179-1,"Hernandez, Victoria J.",2022-07-30 00:00:00,0.0,Yes
98180-1,"Richardson, Ronald N.",2022-07-30 00:00:00,0.0,Yes
98212-1,"Mitchell, Kevin B.",2022-08-01 00:00:00,0.0,Yes
98229-1,"Edwards, Mark U.",2022-08-01 00:00:00,0.0,Yes
98254-1,"Mitchell, Kevin B.",2022-08-01 00:00:00,0.0,Yes
98293-1,"Smith, Ashley M.",2022-08-02 00:00:00,0.0,Yes
98302-1,"Allen, Joan T.",2022-08-03 00:00:00,0.0,Yes
98336-1,"Morris, Judith B.",2022-08-03 00:00:00,0.0,Yes
98440-1,"Gray, Thomas V.",2022-08-08 00:00:00,0.0,Yes
98470-1,"Murphy, Walter Y.",2022-08-09 00:00:00,0.0,Yes
98507-1,"White, Kyle G.",2022-08-10 00:00:00,0.0,Yes
98804-1,"Ward, Carolyn G.",2022-08-23 00:00:00,0.0,Yes
98806-1,"Wright, Jennifer Q.",2022-08-23 00:00:00,0.0,Yes
98899-1,"Hughes, Karen H.",2022-08-27 00:00:00,0.0,Yes
98967-1,"Smith, Ashley M.",2022-08-29 00:00:00,0.0,Yes
99339-1,"Campbell, Susan E.",2022-09-12 00:00:00,0.0,Yes
99392-1,"Johnson, Rachel J.",2022-09-14 00:00:00,0.0,Yes
99443-1,"Thomas, William S.",2022-09-16 00:00:00,0.0,No
99475-1,"Castro Fuentes, Sharon G.",2022-09-18 00:00:00,0.0,Yes
99499-1,"Martin, Donna B.",2022-09-19 00:00:00,0.0,Yes
99519-1,"White, Kyle G.",2022-09-19 00:00:00,0.0,Yes
99564-1,"Morris, Judith B.",2022-09-20 00:00:00,0.0,Yes
99625-1,"Ortiz, Jack A.",2022-09-22 00:00:00,0.0,Yes
99791-1,"Morris, Judith B.",2022-09-28 00:00:00,0.0,Yes
99799-1,"Morales, Kelly W.",2022-09-29 00:00:00,0.0,Yes
99856-1,"Thompson, Benjamin K.",2022-09-30 00:00:00,0.0,Yes
99885-1,"Cabral Nunez, Stephen E.",2022-10-02 00:00:00,0.0,Yes
99886-1,"Kelly, Gary A.",2022-10-02 00:00:00,0.0,Yes
99892-1,"White, Kyle G.",2022-10-02 00:00:00,0.0,Yes
99990-1,"Perez, Adam T.",2022-10-04 00:00:00,0.0,Yes
100021-1,"Castro Fuentes, Sharon G.",2022-10-05 00:00:00,0.0,Yes
100024-1,"Baker, Carol V.",2022-10-06 00:00:00,0.0,Yes
100031-1,"Jones, Jacob Y.",2022-10-06 00:00:00,0.0,Yes
100108-1,"Thompson, Judith M.",2022-10-09 00:00:00,0.0,Yes
100241-1,"Thomas, Elizabeth E.",2022-10-13 00:00:00,0.0,Yes
100247-1,"Williams, Debra Y.",2022-10-14 00:00:00,0.0,No
100261-1,"Thompson, Adam B.",2022-10-14 00:00:00,0.0,Yes
100376-1,"Rodriguez, Kenneth W.",2022-10-19 00:00:00,0.0,Yes
100398-1,"Flores, Christine N.",2022-10-19 00:00:00,0.0,Yes
100401-1,"Martinez, Paul C.",2022-10-19 00:00:00,0.0,Yes
100485-1,"Watson, Jack L.",2022-10-24 00:00:00,0.0,No
100544-1,"Williams, Daniel V.",2022-10-26 00:00:00,0.0,Yes
100583-1,"Williams, Debra Y.",2022-10-27 00:00:00,0.0,No
100637-1,"Chavez, Christopher N.",2022-10-29 00:00:00,0.0,Yes
100910-1,"Cabral Nunez, Stephen E.",2022-11-08 00:00:00,0.0,No
