Respondent,How satisfied are you with the overall experience?,Has the issue been resolved completely?,Was the work completed in a timely manner?,Date Received
"Lewis, Kimberly T.",5,Yes,Yes,2022-07-11 00:00:00
"Lewis, Kimberly T.",5,Yes,Yes,2022-11-16 00:00:00
"Lewis, Kimberly T.",5,Yes,Yes,2023-01-09 00:00:00
"Lewis, Kimberly T.",5,Yes,Yes,2023-06-14 00:00:00
"Lewis, Kimberly T.",5,Yes,Yes,2024-01-04 00:00:00
"Lewis, Kimberly T.",5,Yes,Yes,2024-01-26 00:00:00
"Cook, Victoria U.",1,No,No,2022-07-11 00:00:00
"Walker, Eric K.",5,Yes,Yes,2020-08-19 00:00:00
"Wood, Lauren P.",5,Yes,Yes,2019-11-06 00:00:00
"Wood, Lauren P.",5,Yes,Yes,2020-07-09 00:00:00
"Martin, Emily V.",1,No,No,2019-10-28 00:00:00
"Martin, Emily V.",1,No,No,2019-10-28 00:00:00
"Collins, Zachary J.",3,No,Yes,2021-02-23 00:00:00
"Collins, Zachary J.",5,Yes,Yes,2021-05-20 00:00:00
"Martin, Donna K.",1,No,No,2025-01-17 00:00:00
"White, Deborah E.",5,Yes,Yes,2020-05-06 00:00:00
"White, Deborah E.",5,Yes,Yes,2020-06-04 00:00:00
"White, Deborah E.",5,Yes,Yes,2020-07-21 00:00:00
"Campbell, Raymond C.",5,Yes,Yes,2021-05-24 00:00:00
"Morales, Richard A.",1,No,No,2023-12-11 00:00:00
"Morgan, Patricia J.",5,Yes,Yes,2022-09-19 00:00:00
"Morgan, Patricia J.",5,Yes,Yes,2023-01-06 00:00:00
"Morgan, Patricia J.",5,Yes,Yes,2023-10-09 00:00:00
"Morgan, Patricia J.",5,Yes,Yes,2023-11-03 00:00:00
"Morgan, Patricia J.",1,No,No,2025-01-06 00:00:00
"Morgan, Patricia J.",5,Yes,Yes,2025-08-27 00:00:00
"Morgan, Patricia J.",5,Yes,Yes,2025-10-08 00:00:00
"Williams, Scott B.",5,Yes,Yes,2026-07-04 00:00:00
"Watson, Jack L.",5,Yes,Yes,2024-10-14 00:00:00
"Watson, Jack L.",5,Yes,Yes,2024-12-03 00:00:00
"Watson, Jack L.",5,Yes,Yes,2025-04-15 00:00:00
"Nguyen, Sharon A.",5,Yes,Yes,2024-01-02 00:00:00
"Nguyen, Sharon A.",1,No,No,2024-10-22 00:00:00
"Campbell, Larry G.",2,No,No,2024-10-24 00:00:00
Business Tenant 4,5,Yes,Yes,2019-09-05 00:00:00
Business Tenant 4,5,Yes,Yes,2020-01-08 00:00:00
"Mitchell, Kevin B.",5,Yes,Yes,2022-08-01 00:00:00
"Gomez, Joyce W.",5,Yes,Yes,2025-07-07 00:00:00
"Gomez, Joyce W.",1,Yes,Yes,2026-02-20 00:00:00
"Thompson, Adam K.",5,Yes,Yes,2026-06-13 00:00:00
"Harris, Melissa F.",5,Yes,Yes,2020-08-04 00:00:00
"Harris, Melissa F.",5,Yes,Yes,2021-09-23 00:00:00
"Harris, Melissa F.",5,Yes,Yes,2021-10-20 00:00:00
"Harris, Melissa F.",5,Yes,Yes,2022-09-20 00:00:00
"Green, Amanda M.",5,Yes,Yes,2019-07-25 00:00:00
"Green, Amanda M.",3,Yes,No,2019-09-20 00:00:00
"Green, Amanda M.",5,Yes,Yes,2019-10-23 00:00:00
"Green, Amanda M.",5,Yes,Yes,2019-12-19 00:00:00
"Green, Amanda M.",5,Yes,Yes,2020-08-19 00:00:00
"Green, Amanda M.",4,No,Yes,2020-10-19 00:00:00
"Green, Amanda M.",4,Yes,No,2021-11-09 00:00:00
"Green, Amanda M.",5,Yes,Yes,2021-11-29 00:00:00
"Green, Amanda M.",5,Yes,Yes,2022-11-29 00:00:00
"Green, Amanda M.",5,Yes,Yes,2023-09-20 00:00:00
"Green, Amanda M.",5,Yes,Yes,2024-11-02 00:00:00
"Diaz, Michael P.",5,Yes,Yes,2020-05-19 00:00:00
"Diaz, Michael P.",5,Yes,Yes,2023-03-28 00:00:00
"Diaz, Michael P.",5,Yes,Yes,2024-01-29 00:00:00
"Diaz, Michael P.",5,Yes,Yes,2024-12-09 00:00:00
"Diaz, Michael P.",5,Yes,Yes,2026-01-06 00:00:00
"Flores, Nancy S.",1,Yes,No,2026-03-30 00:00:00
"Carter, Frank H.",5,Yes,Yes,2020-05-20 00:00:00
"Carter, Frank H.",5,Yes,Yes,2020-07-30 00:00:00
"Roberts, Sandra Q.",1,No,No,2019-12-06 00:00:00
"Cifuentes Roa, Cynthia K.",5,No,Yes,2026-04-27 00:00:00
"Cifuentes Roa, Cynthia K.",5,Yes,Yes,2026-04-27 00:00:00
"Cifuentes Roa, Cynthia K.",5,Yes,Yes,2026-05-13 00:00:00
"Cifuentes Roa, Cynthia K.",3,Yes,No,2026-05-13 00:00:00
"Cifuentes Roa, Cynthia K.",5,Yes,No,2026-06-17 00:00:00
"Morgan, Joseph G.",1,No,No,2019-11-14 00:00:00
"Cox, Raymond S.",5,Yes,Yes,2019-12-06 00:00:00
"Martin, Megan Y.",5,Yes,Yes,2020-08-03 00:00:00
"Martin, Megan Y.",5,Yes,Yes,2020-10-15 00:00:00
"Martin, Megan Y.",3,No,Yes,2021-10-13 00:00:00
"Gutierrez, Anna M.",5,Yes,Yes,2024-04-16 00:00:00
"Gutierrez, Anna M.",1,No,No,2024-08-01 00:00:00
"Gutierrez, Anna M.",1,No,No,2025-02-03 00:00:00
"Turner, Kelly E.",1,No,No,2022-12-14 00:00:00
"Turner, Kelly E.",5,Yes,Yes,2022-12-28 00:00:00
"Hill, Diane R.",2,No,No,2025-09-18 00:00:00
"Watson, Edward J.",4,No,No,2020-12-03 00:00:00
"Watson, Edward J.",5,Yes,Yes,2021-02-14 00:00:00
"Murphy, Michael T.",5,Yes,Yes,2021-03-29 00:00:00
"Bailey, Kyle S.",1,No,No,2025-03-08 00:00:00
"Ruiz, George H.",5,Yes,Yes,2023-01-25 00:00:00
"Nelson, Jose V.",5,Yes,Yes,2021-08-30 00:00:00
"Carter, David F.",5,Yes,Yes,2020-07-08 00:00:00
"Lopez, Joan Y.",5,Yes,Yes,2026-03-13 00:00:00
"Hughes, Karen H.",5,Yes,Yes,2021-09-11 00:00:00
Business Tenant 5,1,No,No,2026-07-09 00:00:00
"Garcia, Donald G.",5,Yes,Yes,2024-12-09 00:00:00
"Lewis, Shirley R.",5,Yes,Yes,2019-08-21 00:00:00
"Evans, Christina D.",5,Yes,Yes,2019-09-17 00:00:00
"Evans, Christina D.",5,Yes,Yes,2019-09-18 00:00:00
"Richardson, Ronald N.",5,Yes,Yes,2022-07-12 00:00:00
"Nelson, Diane M.",5,Yes,Yes,2022-07-08 00:00:00
"Scott, Nicole Y.",5,Yes,Yes,2019-08-01 00:00:00
